userid,itemid,rate
0,0,10
0,2,3
0,3,10
0,5,1
0,6,10
0,7,8
0,8,4
0,9,1
0,11,10
0,12,6
0,13,7
0,14,1
0,15,10
0,16,10
0,503,4
0,211,10
1,17,9
1,18,9
1,19,8
1,20,1
1,21,7
1,22,8
1,25,10
1,26,1
1,28,9
1,29,10
1,30,9
1,31,7
1,32,7
1,33,10
1,34,9
1,35,7
1,36,9
1,37,10
1,38,10
1,40,10
1,41,10
1,42,9
1,0,10
1,933,10
1,552,4
1,201,9
2,45,7
2,46,8
2,47,7
2,48,8
2,49,4
2,50,7
2,51,6
2,52,6
2,53,5
2,54,7
2,55,6
2,56,6
2,57,6
2,59,7
2,61,8
2,63,6
2,64,9
2,65,7
2,67,8
2,68,8
2,69,8
2,37,8
2,70,7
2,71,9
2,72,7
2,73,6
2,74,7
2,75,7
2,76,7
2,77,7
2,78,7
2,79,6
2,80,7
2,81,7
2,82,7
2,83,9
2,84,4
2,125,9
2,404,9
2,520,7
2,777,9
2,102,7
2,692,8
2,92,5
2,98,7
2,360,5
2,243,9
2,589,5
3,3,1
3,85,5
3,86,10
3,87,10
3,88,10
3,42,9
3,38,10
3,66,10
4,90,6
4,91,10
4,74,9
4,66,8
4,50,9
4,54,9
4,93,1
4,81,10
4,597,6
4,243,1
5,95,9
5,97,10
5,99,9
5,100,9
5,101,8
5,58,8
5,102,10
5,88,8
5,103,10
5,104,8
5,106,8
5,107,9
5,108,7
5,109,10
5,110,10
5,112,9
5,113,9
5,114,7
5,115,10
5,116,8
5,29,9
5,117,10
5,118,10
5,119,8
5,120,10
5,121,9
5,122,8
5,123,8
5,85,3
5,124,10
5,125,8
5,126,7
5,127,10
5,131,10
5,132,7
5,134,9
5,135,7
5,136,10
5,137,10
5,138,10
5,139,10
5,141,10
5,142,7
5,143,10
5,144,8
5,145,9
5,54,9
5,146,8
5,147,9
5,148,7
5,149,10
5,37,10
5,150,10
5,888,10
5,702,10
5,901,10
5,25,8
5,987,8
5,41,9
5,71,9
5,504,10
5,672,10
5,387,8
5,586,10
5,276,7
5,892,10
5,823,10
5,65,9
6,151,10
6,41,8
6,152,7
6,153,8
6,37,9
6,60,7
6,154,8
6,155,7
6,156,8
6,157,8
6,158,9
6,149,10
6,118,8
6,123,7
7,123,10
7,159,10
7,160,9
7,29,10
7,79,8
7,162,6
7,163,5
7,164,7
7,165,9
7,166,2
7,167,10
7,169,10
7,152,10
7,170,2
7,171,4
7,172,10
7,173,8
7,174,9
7,329,6
8,175,8
8,177,8
8,151,3
8,51,3
8,178,6
8,179,8
8,180,6
8,181,3
8,182,10
8,183,8
8,184,7
8,185,8
8,186,8
8,20,6
8,187,6
8,188,8
8,190,6
8,191,8
8,9,8
8,44,7
8,193,9
8,194,7
8,195,8
8,196,4
8,17,7
8,198,5
8,199,9
8,200,8
8,201,9
8,202,7
8,203,7
8,40,8
8,205,9
8,3,9
8,53,4
8,206,5
8,207,7
8,208,3
8,209,8
8,210,8
8,10,8
8,211,7
8,515,6
8,38,8
8,400,6
8,641,7
8,988,8
8,37,6
8,360,8
8,627,3
8,689,8
8,729,7
8,504,10
8,5,4
8,245,5
9,213,6
9,216,7
9,217,7
9,58,10
9,34,10
9,218,7
9,107,10
9,219,6
9,221,9
9,222,6
9,223,6
9,224,9
9,225,10
9,226,8
9,227,8
9,228,6
9,230,10
9,231,9
9,232,8
9,233,9
9,25,9
9,63,7
9,234,9
9,235,9
9,135,7
9,236,7
9,237,7
9,239,6
9,240,7
9,129,8
9,52,6
9,117,10
9,98,9
9,242,9
9,19,8
9,127,9
9,81,8
9,205,9
9,72,8
9,243,7
9,73,7
9,206,7
9,104,9
9,244,8
9,245,9
9,74,8
9,246,6
9,17,8
9,247,8
9,248,6
9,159,10
9,44,10
9,148,7
9,250,7
9,251,8
9,43,7
9,252,10
9,885,3
9,89,8
9,512,7
9,498,8
9,429,7
9,463,7
9,675,7
9,527,8
9,202,7
10,254,8
10,255,9
10,66,10
10,257,1
10,258,6
10,259,6
10,78,6
10,260,8
10,261,6
10,262,6
10,263,7
10,264,6
10,484,8
10,525,4
10,374,6
10,409,5
10,390,3
11,266,5
11,267,7
11,269,8
11,270,6
11,271,6
11,272,6
11,826,10
11,349,9
12,273,8
12,274,8
12,275,2
12,277,3
12,266,4
12,36,8
12,278,5
12,279,7
12,204,5
12,281,5
12,282,8
12,283,2
12,210,6
12,284,5
12,286,5
12,288,5
12,289,2
12,200,3
12,14,8
12,290,4
12,291,8
12,292,5
12,293,7
12,294,4
12,295,1
12,296,7
12,297,4
12,298,3
12,91,8
12,270,7
12,300,4
12,301,3
12,302,4
12,212,6
12,304,8
12,305,5
12,143,9
12,306,4
12,307,2
12,308,3
12,309,6
12,23,3
12,310,3
12,311,4
12,313,4
12,314,2
12,66,7
12,315,7
12,317,4
12,318,10
12,319,7
12,320,8
12,203,8
12,321,3
12,322,5
12,25,7
12,231,2
12,323,7
12,156,10
12,13,5
12,324,4
12,325,5
12,326,7
12,327,7
12,872,8
12,873,4
12,868,4
12,6,5
12,920,7
12,369,9
12,882,1
12,860,2
12,361,6
12,731,8
12,417,7
12,745,2
12,73,4
13,328,9
13,329,10
13,330,8
13,331,7
13,332,9
13,333,8
13,334,9
13,335,10
13,540,5
13,552,1
14,336,4
14,337,7
14,338,4
14,340,2
14,341,1
14,342,8
14,89,1
14,132,6
14,343,8
14,344,5
14,345,4
14,348,6
14,349,5
14,987,1
14,623,10
14,601,7
14,419,5
15,350,7
15,141,1
15,26,8
15,71,6
15,351,8
15,184,9
15,38,8
15,40,8
15,352,6
15,46,9
15,353,1
15,355,8
15,356,1
15,357,8
15,358,1
15,359,8
15,254,7
15,74,7
15,690,1
15,390,8
15,481,1
15,569,5
15,782,5
16,112,10
16,238,9
16,137,10
16,292,1
16,361,8
16,66,10
16,54,10
16,243,6
16,363,10
16,364,9
16,365,10
16,366,1
16,368,4
16,369,9
16,370,1
16,472,8
16,50,5
16,136,10
16,400,7
16,657,10
17,371,7
17,372,7
17,373,6
17,374,7
17,119,9
17,144,8
17,347,6
17,78,5
17,375,6
17,377,5
17,378,9
17,244,6
17,127,7
17,379,4
17,88,10
17,380,7
17,381,7
17,135,6
17,113,8
17,296,7
17,382,6
17,522,6
17,236,5
17,66,8
17,71,9
17,301,5
17,455,8
18,383,7
18,384,9
18,385,8
18,386,5
18,387,9
18,388,6
18,310,8
18,260,8
18,389,5
18,313,7
18,270,7
18,264,7
18,390,8
18,391,8
18,392,7
18,393,7
18,868,5
18,286,6
18,881,7
18,705,9
18,190,7
19,394,6
19,312,1
19,395,9
19,396,1
